Table Name,State Code,District Code,Tehsil Code,Area Name,Total/ Rural/ Urban,Age-group,Total population - Persons,Total population - Males,Total population - Females,Population attending educational institutions - Persons,Population attending educational institutions - Males,Population attending educational institutions - Females,Type of educational institution - School - Persons,Type of educational institution - School - Males,Type of educational institution - School - Females,Type of educational institution - College - Persons,Type of educational institution - College - Males,Type of educational institution - College - Females,Type of educational institution - Vocational institute - Persons,Type of educational institution - Vocational institute - Males,Type of educational institution - Vocational institute - Females,Type of educational institution - Other institute - Persons,Type of educational institution - Other institute - Males,Type of educational institution - Other institute - Females,Type of educational institution - Literacy centre - Persons,Type of educational institution - Literacy centre - Males,Type of educational institution - Literacy centre - Females,,
C3010,33,1,0,District - Thiruvallur  01,Urban,11,24452,12617,11835,22405,11570,10835,22405,11570,10835,0,0,0,0,0,0,0,0,0,0,0,0,,
C3010,33,1,0,District - Thiruvallur  01,Urban,12,29154,15124,14030,25961,13481,12480,25961,13481,12480,0,0,0,0,0,0,0,0,0,0,0,0,,
C3010,33,1,0,District - Thiruvallur  01,Urban,13,27541,13678,13863,24141,12055,12086,24141,12055,12086,0,0,0,0,0,0,0,0,0,0,0,0,,
C3010,33,1,0,District - Thiruvallur  01,Urban,14,25495,13056,12439,21448,11022,10426,21448,11022,10426,0,0,0,0,0,0,0,0,0,0,0,0,,
C3010,33,1,0,District - Thiruvallur  01,Urban,15-19,145227,74611,70616,77495,40950,36545,62046,32361,29685,11158,5756,5402,3273,2321,952,998,502,496,20,10,10,,
C3010,33,1,0,District - Thiruvallur  01,Urban,20-24,160821,80195,80626,25529,15158,10371,5208,2876,2332,17916,10664,7252,1602,1180,422,760,422,338,43,16,27,,
C3010,33,1,0,District - Thiruvallur  01,Urban,25-29,159670,78301,81369,3412,2343,1069,0,0,0,2067,1392,675,772,583,189,542,355,187,31,13,18,,
C3010,33,1,0,District - Thiruvallur  01,Urban,30-34,128864,67393,61471,1022,671,351,0,0,0,576,365,211,224,172,52,190,116,74,32,18,14,,
C3010,33,1,0,District - Thiruvallur  01,Urban,35-59,409777,216558,193219,1511,1015,496,0,0,0,854,589,265,367,249,118,174,118,56,116,59,57,,
C3010,33,1,0,District - Thiruvallur  01,Urban,60+,102390,50267,52123,234,155,79,0,0,0,124,88,36,62,38,24,17,12,5,31,17,14,,
C3010,33,1,0,District - Thiruvallur  01,Urban,Age not stated,8534,4424,4110,108,57,51,0,0,0,72,36,36,11,6,5,21,12,9,4,3,1,,
C3010,33,2,0,District - Chennai  02,Total,All ages,4343645,2219539,2124106,952492,495814,456678,809911,413603,396308,116139,65465,50674,17746,11691,6055,6944,4027,2917,1752,1028,724,,
C3010,33,2,0,District - Chennai  02,Total,0-4,299356,151721,147635,34418,17735,16683,34418,17735,16683,0,0,0,0,0,0,0,0,0,0,0,0,,
C3010,33,2,0,District - Chennai  02,Total,5,69908,35678,34230,38003,19443,18560,38003,19443,18560,0,0,0,0,0,0,0,0,0,0,0,0,,
